,group1,group2,Diff,Lower,Upper,q-value,p-value
0,AF,Rh_control,2.8857710400000016,-1.5780153510152566,7.34955743101526,2.5505055445514873,0.22246947933281158
1,AF,Ra_control,3.6418296375000025,-0.8219567535152557,8.10561602851526,3.2187261407806225,0.11078925289733399
2,Rh_control,Ra_control,0.7560585975000009,-3.7077277935152573,5.219844988515259,0.6682205962291355,0.8823287879261132
